Type,Comment,Predicted Label
multi_line,Creates a new instance  @param label  the lable to use in the first line @param indent columns to indent @param cols   number of columns to use,RELEVANT
multi_line,"Sets the string inserted as a line break.  @param lineBreak the line break, defaults to `\n`. @return this for chained calls",RELEVANT
multi_line,Breaks the line  @param text the text to handle @return the text containing the line breaks,RELEVANT
multi_line,Preserves the contained line breaks  @return this for chained calls,RELEVANT
multi_line,Returns an HTML string  @return this for chained calls,RELEVANT
multi_line,@return the number of created lines,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Used to show error messages. Implements runnable so you can apply this class directly to {@link SwingUtilities#invokeLater(Runnable)},RELEVANT
multi_line,Creates a new instance,RELEVANT
multi_line,Creates anew instance  @param message the message to show,RELEVANT
multi_line,Adds a cause to the message  @param e the cause @return this for call chaining,RELEVANT
multi_line,Creates a exception message  @param e the {@link Throwable} instance,RELEVANT
multi_line,Shows the error message,RELEVANT
multi_line,Shows the error message  @param parent the parent,RELEVANT
multi_line,Sets a parents component. Used if supplied to {@link SwingUtilities#invokeLater(Runnable)}  @param component the parent @return this for call chaining,RELEVANT
multi_line,the error dialog,RELEVANT
multi_line,@return the error message,RELEVANT
multi_line,Get the parent window of the given component. If the component is a window this window is returned  @param parent the parent component @return the window instance,RELEVANT
multi_line,Copyright (c) 2018 Helmut Neemann. Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Used to interpret mouse clicks,RELEVANT
multi_line,Returns a mouse event interpreter  @return a Mouse interface implementation,RELEVANT
multi_line,Returns true is MouseEvent e is a primary click  @param e the mouse event @return true if MouseEvent e is a primary click,RELEVANT
multi_line,Returns true is MouseEvent e is a secondary click  @param e the mouse event @return true if MouseEvent e is a secondary click,RELEVANT
multi_line,Returns true if modifier is pressed  @param e the mouse event @return true if modifier is pressed,RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,File chooser that fixes the window size issues.,RELEVANT
multi_line,Create a new instance,RELEVANT
multi_line,Create a new instance  @param folder the folder to use,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,A simple confirmation dialog builder,RELEVANT
multi_line,Creates anew dialog builder  @param message the dialog message,RELEVANT
multi_line,Sets the dialogs title  @param title the dialogs title @return this for chaining calls,RELEVANT
multi_line,Sets the text for the yes-option  @param yes the yes option text @return this for chaining calls,RELEVANT
multi_line,Sets the text for the no-option  @param no the no option text @return this for chaining calls,RELEVANT
multi_line,Sets the text for the cancle-option  @param cancle the cancle option text @return this for chaining calls,RELEVANT
multi_line,Sets yes as the default option  @return this for chaining calls,RELEVANT
multi_line,Sets no as the default option  @return this for chaining calls,RELEVANT
multi_line,Shows the dialog  @param parent the parent component @return the result of showOptionDialog,RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Provides a dynamic tool tip,RELEVANT
multi_line,@return the tooltip,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Action to handle tool tips.,RELEVANT
multi_line,Creates a new instance  @param name the name of the action,RELEVANT
multi_line,Creates a new instance  @param name the name of the action @param icon the icon,RELEVANT
multi_line,sets the icon  @param icon the icon to set,RELEVANT
multi_line,@return the icon,RELEVANT
multi_line,Sets the tool tip text  @param text the tool tip text @return this for call chaining,RELEVANT
multi_line,Sets a tool tip provider  @param toolTipProvider the tool tip provider @return this for call chaining,RELEVANT
multi_line,Sets an accelerator to the action  @param key the accelerator key @return this for call chaining,RELEVANT
multi_line,Sets an accelerator to the action  @param key the accelerator key @return this for call chaining,RELEVANT
multi_line,@return the system specific CTRL mask.,RELEVANT
multi_line,Sets an accelerator to the action  @param key the accelerator key @return this for call chaining,RELEVANT
multi_line,Sets an accelerator to the action  @param accelerator the accelerator @return this for call chaining,RELEVANT
multi_line,enables the accelerator in the given component  @param component the component @return this for call chaining,RELEVANT
multi_line,Sets the activated state for this action  @param newValue the new state @return this for call chaining,RELEVANT
multi_line,@return a JButton associated with this action,RELEVANT
multi_line,"@return a JButton associated with this action, contains only the icon",RELEVANT
multi_line,"@return a JButton associated with this action, contains only the icon",RELEVANT
multi_line,@return a JMenuItem associated with this action,RELEVANT
multi_line,"@return a JMenuItem associated with this action, contains no icon",RELEVANT
single_line,plausibility check,,RELEVANT
single_line,"most people don't use a screen larger than 27 inch, so the resolution is presumably wrong",,RELEVANT
single_line,assume a 27 inch screen,,RELEVANT
single_line,macOS has its own retina handling,,RELEVANT
single_line,macOS has its own icon handling,,RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Win 150% : getScreenResolution() = 144 Win 100% : getScreenResolution() = 96 Linux    : getScreenResolution() = 95,RELEVANT
multi_line,Class used to handle different screen resolution by defining a new default font used by the GUI components. Also all the icons are scaled.,RELEVANT
multi_line,@return the Screen instance,RELEVANT
multi_line,@return the default font scaling in percent,RELEVANT
multi_line,@return font size,RELEVANT
multi_line,@return the font,RELEVANT
multi_line,Get scaled font  @param scale the scaling factor @return the scaled font,RELEVANT
multi_line,@return the scaling,RELEVANT
multi_line,Scales the given dimension  @param dimension the given dimension @return the scaled dimension,RELEVANT
multi_line,@return true if running on a windows system,RELEVANT
multi_line,@return true if running on a mac,RELEVANT
multi_line,Sets the location of a window. Ensures that the window is completely visible on the screen the given position belongs to. The window is centered relative to the given position.  @param w      the window @param pos    the position @param center if true the window is centered,RELEVANT
multi_line,Copyright (c) 2014 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Helper to create Images and Icons,RELEVANT
multi_line,Creates an icon from a resource  @param name name of the resource @return the icon,RELEVANT
multi_line,Creates an image from a resource  @param name name of the resource @return the image,RELEVANT
multi_line,Creates an image list from a resource  @param names names of the resource @return the image,RELEVANT
multi_line,Copyright (c) 2015 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Helper to show the info dialog! Reads Build-Version and Build-Date from the Manifest.,RELEVANT
multi_line,Unknown release,RELEVANT
multi_line,@return the singleton instance,RELEVANT
multi_line,Creates a message by taking the given message and adding the manifest infos to it  @param message the given message @return message and added manifest infos,RELEVANT
multi_line,Shows the message in a dialog  @param parent   the parent component @param message  the message @param revision the `{{version}}` url version replacement,RELEVANT
multi_line,Adds the help menu to a JFrame  @param frame   the frame @param message the message @return the help menu,RELEVANT
multi_line,@return the revision,RELEVANT
multi_line,A simple Manifest parser,RELEVANT
multi_line,@return returns all entries,RELEVANT
multi_line,@return the manifest url,RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,A exception which has a set of files as an origin.,RELEVANT
multi_line,Returns the file or the files that caused the given exception. If no origin is found null is returned.  @param e the exception @return the origin or null;,RELEVANT
multi_line,Creates a new exception  @param message message,RELEVANT
multi_line,Creates a new exception  @param message message @param cause   the cause,RELEVANT
multi_line,@return the origin of the error,RELEVANT
multi_line,Sets the origin of an error  @param origin the file which had caused the exception,RELEVANT
multi_line,Sets the visual element which caused this error  @param visualElement the visual element @return this for chained calls,RELEVANT
multi_line,@return the visual element which caused this error,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Is thrown if bit count is not matching,RELEVANT
multi_line,Creates a new instance. Avoid to use this constructor because it provides no further information to fix the circuit. Use only if it's to expensive to provide more information. Try to provide at least a node.  @param message the message,RELEVANT
multi_line,Creates a new instance  @param message the message @param node    the affected node,RELEVANT
multi_line,Creates a new instance  @param message the message @param values  the affected values,RELEVANT
multi_line,Creates a new instance  @param message the message @param node    the affected node @param input   the affected nodes input @param values  the affected values,RELEVANT
multi_line,Creates a new instance  @param message the message @param node    the affected node @param input   the affected nodes input @param values  the affected values,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Interface to implement observers of the model.,RELEVANT
multi_line,called to propagate an event  @param event the event,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Represents a copy of a value. Call {@link ObservableValue#getCopy()} to obtain a value.,RELEVANT
multi_line,Creates a new high z Value  @param bits the number of high z bits,RELEVANT
multi_line,Creates a new Value  @param value the value @param bits  the number of bits,RELEVANT
multi_line,Creates a new Value  @param value the value @param bits  the number of bits,RELEVANT
multi_line,@return true if one of the bits is in high z state,RELEVANT
multi_line,@return the signals value,RELEVANT
multi_line,@return the signals value,RELEVANT
multi_line,@return a bool value,RELEVANT
multi_line,@return the number of bits,RELEVANT
multi_line,returns the actual value as a string  @return the value as string,RELEVANT
multi_line,Compares two values  @param other the other value @return true if equal,RELEVANT
multi_line,Applies the value to the oObservable  @param val the observable value,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,"In this package you can find all the classes necessary to run the model. So all the logic gates, memory and so on are implemented here. This core model does not contain any information about its graphical representation. But every single value is represented by the class {@link de.neemann.digital.core.ObservableValue} and the graphical representation registers listeners tho the values to be notified if a state change occurred, and maybe a repaint is necessary.",RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,A node which has no delay,RELEVANT
multi_line,Creates a new instance  @param outputs the nodes outputs,RELEVANT
multi_line,Creates a new instance  @param outputs the nodes outputs,RELEVANT
single_line,used to store the origin of this node,,RELEVANT
single_line,only used to create better error messages,,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,"Implements a node. A node represents a part in the circuit which has a non zero propagation time. So every gate inherits from node. <br/> During the simulation the method {@link #readInputs()} is called. This method has to read all necessary inputs to perform the operation, but is not allowed to update one of the nodes outputs. All necessary data to do so has to be stored in member variables. After all {@link #readInputs()} methods of all nodes are called, the model executer {@link Model#doMicroStep(boolean)} starts to call the {@link #writeOutputs()} methods of all nodes. During this call the outputs have to be updated using the data stored and without reading the inputs again.",RELEVANT
multi_line,Creates new stateless Node,RELEVANT
multi_line,Creates a new node  @param hasState true if node has a state,RELEVANT
multi_line,Sets the model for this node.  @param model the model,RELEVANT
multi_line,Only read the input! It is not allowed to write to one of the outputs!!!  @throws NodeException NodeException,RELEVANT
multi_line,Only write to the output! It is not allowed to read from one of the inputs!!!  @throws NodeException NodeException,RELEVANT
multi_line,Is called to register all the nodes belonging to this node to the model. this implementation simply registers itself to the model.  @param model the model,RELEVANT
multi_line,@return true if the element has a state and is not only combinatorial,RELEVANT
multi_line,Returns the origin of this node Only used to show better error messages.  @return the origin of this node,RELEVANT
multi_line,Sets the origin of this node Only used to show better error messages.  @param origin the origin of this node,RELEVANT
multi_line,@return the model this node belongs to,RELEVANT
single_line,merge the nets,,RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,"Checks if a temporary burn condition is still present after the step is completed. If so, an exception is thrown. Handles also the reconfiguration of the nets if a switch has changed.",RELEVANT
multi_line,@return the version used to avoid double additions of nets in a burn condition,RELEVANT
multi_line,Adds a net in a burn condition  @param commonBusValue the value in burn condition,RELEVANT
multi_line,Closes or opens a switch. Is used to reconfigure a net with switches  @param realSwitch the switch @param closed     true if switch is closed,RELEVANT
multi_line,"Reconfiguration of the nets. If a switch is closed the nets on both contacts of the switch are connected to a single common net, After that the state of the new merged nets are updated. Needs to be called every time a switch has changed.",RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Classes to handle a data bus. Most classes are needed to handle the switch which is able to interconnect to nets to form a common net.,RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,This observer represents the common output value of several outputs connected together. Handles also the switches.,RELEVANT
multi_line,Sets the handler which is needed to calculate the nets state  @param handler the handler,RELEVANT
multi_line,Resets the handler. So this net is isolated to a single simple net.,RELEVANT
multi_line,@return the pull resistor is this net,RELEVANT
multi_line,@return the inputs connected to this net.,RELEVANT
multi_line,"Returns true if this net is a constant  @return the constant if this is a constant, null otherwise",RELEVANT
multi_line,@return the origin of this {@link CommonBusValue},RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The SingleBusHandler is used for a simple isolated net.,RELEVANT
multi_line,Creates a new instance  @param obs      the Observer used ti detect a burn condition @param output   the outputs connected to this net @param resistor the resistor of this net @param inputs   the outputs connected to this net are the inputs of the nets state,RELEVANT
single_line,check for a burn condition!,,RELEVANT
single_line,if burn condition and not yet added for post step check add for post step check,,RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,"The {@link AbstractBusHandler} calculates the state of a net with given inputs and pull resistors. After the calculation of the state the method {@link AbstractBusHandler#set(long, long)} is called to propagate the actual state.",RELEVANT
multi_line,Creates a new instance  @param obs the {@link BusModelStateObserver} is neede to check a burn condition.,RELEVANT
multi_line,"Used to get the outputs connected to this net.  @return the outputs connected to the net, so the inputs of the net.",RELEVANT
multi_line,"@return the resistor connected to the net, Dot return null, return {@link de.neemann.digital.core.element.PinDescription.PullResistor#none} instead.",RELEVANT
multi_line,Sets the value of the net.  @param value the value @param highz the highz state,RELEVANT
multi_line,Returns all connected observable values Used to create appropriate error messages.  @return all connected observable values,RELEVANT
multi_line,"recalculates the state of the net Also calls {@link AbstractBusHandler#set(long, long)} with the new value.",RELEVANT
multi_line,"Called to check if this net is in a burn condition. A burn condition does not immediately throw an exception, because intermediate burn conditions are unavoidable. So this method is called if the step is completed. If a step ends with a burn condition an exception is thrown.",RELEVANT
multi_line,Sets the origin of this AbstractBusHandler  @param file the origin @return this for chained calls,RELEVANT
single_line,set error condition,,RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,"The ConnectedBusHandler calculates the state of net, which is formed by the single nets connected by a closed switch.",RELEVANT
multi_line,Creates a new instance  @param obs The observer needed to check the burn condition,RELEVANT
multi_line,Adds a commonBusValue to the common unified commonBusValue  @param commonBusValue the commonBusValue to add,RELEVANT
multi_line,Adds all nets in the given {@link ConnectedBusHandler}.  @param h2 the {@link ConnectedBusHandler},RELEVANT
multi_line,@return all the nets connected by this handler.,RELEVANT
multi_line,Adds output to the net which are to ignore.  @param output1 output1 @param output2 output2,RELEVANT
multi_line,Adds output which are to ignore by net other.  @param other adds the outputs to ignore from this net,RELEVANT
multi_line,Removes all the outputs which are to ignore,RELEVANT
single_line,if (!o.supportsHighZ()),,RELEVANT
single_line,"throw new PinException(Lang.get(`err_notAllOutputsSupportHighZ`), net);",,AUXILIARY
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,"Handles the creation of a data bus. Is needed to connect multiple outputs which can become high Z. If one of the output becomes low Z, this value is returned by the {@link ObservableValue} created by this bus. If more than one output becomes low Z and the values are not equal then a {@link de.neemann.digital.core.BurnException} is thrown after the models step is completed. During the calculation of of a single step a temporary burn condition is allowed.",RELEVANT
multi_line,Creates a new data bus  @param net     the net @param model   the model @param outputs the outputs building the net @throws PinException PinException,RELEVANT
multi_line,Creates a new data bus  @param net     the net @param model   the model @param outputs the outputs building the net @throws PinException PinException,RELEVANT
multi_line,Returns the readable ObservableValue for this bus  @return the readable ObservableValue,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,the clocks description,RELEVANT
multi_line,Creates a new instance  @param attributes the clocks attributes,RELEVANT
multi_line,@return the clock output value,RELEVANT
multi_line,@return the clocks frequency,RELEVANT
multi_line,@return the clocks label,RELEVANT
multi_line,@return the clock pin,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,"Contains the wiring elements like clock, break, splitter and so on",RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The Bit Selector,RELEVANT
multi_line,The Bit Selector description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
multi_line,Copyright (c) 2018 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,A bus splitter to split a bidirectional data bus,RELEVANT
multi_line,The bus splitters type description,RELEVANT
multi_line,Creates a new instance  @param attr the components attributes,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The decoder,RELEVANT
multi_line,The Decoder description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The Driver,RELEVANT
multi_line,The Driver description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The Multiplexer,RELEVANT
multi_line,The Multiplexer description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The Delay. Allows to delay a signal propagation by a certain amount of time. This time is given in units of gate delays.,RELEVANT
multi_line,The Delay description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The Driver,RELEVANT
multi_line,The Driver description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
multi_line,Returns the highZ state depending of the sel state  @param sel the selected input @return the highZ state,RELEVANT
single_line,this input is not needed to fill the output!!!,,RELEVANT
single_line,out is filled completely by the actual single input value!,,RELEVANT
single_line,done!! out is completely filled!,,RELEVANT
single_line,complete in value needs to be copied to a part of the output,,RELEVANT
single_line,"done with this input, its completely copied to the output!",,RELEVANT
single_line,"If this point is reached, a part of the input needs to be copied to a part of the output!",,RELEVANT
single_line,upper part of input needs to be copied to the lower part of the output,,RELEVANT
single_line,lower part of input needs to be copied to the upper part of the output,,RELEVANT
single_line,"a splitter has no nodes, it works without a delay",,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The Splitter.,RELEVANT
multi_line,Create a one to N splitter  @param bits number of outputs @return the splitter,RELEVANT
multi_line,Create a N to one splitter  @param bits number of inputs @return the splitter,RELEVANT
multi_line,The splitters type description,RELEVANT
multi_line,creates a new instance  @param attributes the attributes @throws BitsException BitsException,RELEVANT
multi_line,A splitter port list,RELEVANT
multi_line,Creates a new instance  @param definition the splitter definition @throws BitsException BitsException,RELEVANT
multi_line,@return the number of bits,RELEVANT
multi_line,returns the port with the given index  @param i the ports index @return the port,RELEVANT
multi_line,A single splitter port.,RELEVANT
multi_line,@return the number of bits in this port,RELEVANT
multi_line,@return the position of this port,RELEVANT
multi_line,@return the name of this port,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The Break element,RELEVANT
multi_line,The Break description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
multi_line,@return the break value,RELEVANT
multi_line,@return the timeout cycles,RELEVANT
multi_line,@return the break label,RELEVANT
multi_line,@return true if enabled,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The Stop element,RELEVANT
multi_line,The Stop element description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
multi_line,Copyright (c) 2017 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The PriorityEncoder,RELEVANT
multi_line,The PriorityEncoder description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The Demultiplexer,RELEVANT
multi_line,The Demultiplexer description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,The Reset element,RELEVANT
multi_line,The Reset description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
multi_line,Clears the reset state.,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,the clocks description,RELEVANT
multi_line,Creates a new instance  @param attributes the clocks attributes,RELEVANT
multi_line,@return the clocks frequency,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,Bit count,RELEVANT
multi_line,The element description,RELEVANT
multi_line,Creates a new instance  @param attributes attributes,RELEVANT
multi_line,"Copyright (c) 2016 Helmut Neemann, Rüdiger Heintz Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.",COPYRIGHT
multi_line,the barrel shifter direction,RELEVANT
multi_line,the default format as defined in {@link ObservableValue#getValueString()},RELEVANT
multi_line,right,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,"Simple arithmetic operations like addition, subtraction and multiplication",RELEVANT
single_line,shift or rotate right,,RELEVANT
single_line,shift or rotate left,,RELEVANT
multi_line,"Copyright (c) 2016 Helmut Neemann, Rüdiger Heintz Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.",COPYRIGHT
multi_line,A barrel shifter,RELEVANT
multi_line,The barrel shifter description,RELEVANT
multi_line,Creates a new instance  @param attributes the attributes,RELEVANT
single_line,simple and fast,,RELEVANT
single_line,complex 64 bit carry implementation,,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,A adder.,RELEVANT
multi_line,The adders description,RELEVANT
multi_line,Create a new instance  @param attributes the attributes,RELEVANT
multi_line,Copyright (c) 2016 Helmut Neemann Use of this source code is governed by the GPL v3 license that can be found in the LICENSE file.,COPYRIGHT
multi_line,"Negation, twos complement",RELEVANT
multi_line,The element description,RELEVANT
